Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 1,Avg,Proj
TE,GF,Luke Musgrave,GB,@PHI,Fri  8:15pm ET,10,49.5,22,18,55%,9%,1,3,0.00,0.00,4.51
QB,GF,JJ McCarthy,MIN,@NYG,Sun  1:00pm ET,6,42,---,12,6%,1%,35,3,0.00,0.00,0.00
QB,MAM,Tua Tagovailoa,MIA,JAC,Sun  1:00pm ET,6,49.5,10,26,96%,55%,70,1,19.62,19.62,16.95
RB,MAM,Saquon Barkley,PHI,GB,Fri  8:15pm ET,5,49.5,7,23,100%,100%,104,1,38.20,38.20,15.01
RB,MAM,James Conner,ARI,@BUF,Sun  1:00pm ET,11,46,22,14,100%,85%,35,1,20.30,20.30,10.50
WR,MAM,DJ Moore,CHI,TEN,Sun  1:00pm ET,7,43,22,24,100%,84%,46,2,8.00,8.00,8.51
WR,MAM,Garrett Wilson,NYJ,@SF,Mon  8:15pm ET,12,43.5,8,20,100%,94%,25,1,0.00,0.00,8.01
TE,MAM,David Njoku,CLE,DAL,Sun  4:25pm ET,10,42,10,11,95%,67%,17,2,5.40,5.40,7.11
RB,MAM,Alvin Kamara,NO,CAR,Sun  1:00pm ET,12,41.5,17,28,100%,95%,38,2,22.00,22.00,10.70
WR,MAM,Rashee Rice,KC,BAL,Thu  8:20pm ET,6,46,17,2,98%,65%,3,2,15.30,15.30,7.41
QB,MAM,Caleb Williams,CHI,TEN,Sun  1:00pm ET,7,43,18,10,97%,37%,50,3,8.22,8.22,16.66
DST,MAM,Ravens,BAL,@KC,Thu  8:20pm ET,14,46,17,11,100%,72%,1,1,5.00,5.00,8.40
QB,MAM,Geno Smith,SEA,DEN,Sun  4:05pm ET,10,42.5,19,19,42%,12%,25,1,18.84,18.84,18.12
RB,MAM,Kenneth Gainwell,PHI,GB,Fri  8:15pm ET,5,49.5,---,23,30%,1%,1,2,2.20,2.20,4.30
RB,MAM,Roschon Johnson,CHI,TEN,Sun  1:00pm ET,7,43,---,12,17%,1%,1,2,0.00,0.00,0.00
RB,MAM,Jaylen Warren,PIT,@ATL,Sun  1:00pm ET,9,42.5,37,6,93%,8%,38,2,3.00,3.00,6.30
WR,MAM,Jermaine Burton,CIN,NE,Sun  1:00pm ET,12,41,---,14,17%,1%,3,3,0.00,0.00,4.41
WR,MAM,Jerry Jeudy,CLE,DAL,Sun  4:25pm ET,10,42,---,8,65%,7%,6,3,10.50,10.50,7.31
WR,MAM,Michael Wilson,ARI,@BUF,Sun  1:00pm ET,11,46,---,6,20%,1%,3,2,7.50,7.50,5.61
TE,MAM,Dalton Schultz,HOU,@IND,Sun  1:00pm ET,14,47.5,15,27,80%,31%,8,2,1.60,1.60,6.41
WR,MAM,Rashid Shaheed,NO,CAR,Sun  1:00pm ET,12,41.5,44,3,47%,6%,6,1,15.30,15.30,7.81
RB,MAM,Kendre Miller,NO,CAR,Sun  1:00pm ET,12,41.5,---,28,14%,1%,5,2,0.00,0.00,0.00
QB,MCM,Justin Herbert,LAC,LV,Sun  4:05pm ET,5,40.5,23,7,87%,22%,70,1,10.36,10.36,16.73
RB,MCM,Travis Etienne,JAC,@MIA,Sun  1:00pm ET,12,49.5,8,13,100%,98%,60,2,13.90,13.90,9.70
RB,MCM,Christian McCaffrey,SF,NYJ,Mon  8:15pm ET,9,43.5,1,25,100%,100%,145,2,0.00,0.00,15.41
WR,MCM,Jordan Addison,MIN,@NYG,Sun  1:00pm ET,6,42,---,28,81%,9%,15,2,5.50,5.50,7.11
WR,MCM,Puka Nacua,LAR,@DET,Sun  8:20pm ET,6,53.5,7,30,100%,99%,1,3,5.20,5.20,11.21
TE,MCM,Jonnu Smith,MIA,JAC,Sun  1:00pm ET,6,49.5,---,21,20%,3%,1,2,0.70,0.70,4.31
RB,MCM,Joe Mixon,HOU,@IND,Sun  1:00pm ET,14,47.5,18,27,100%,98%,91,2,33.80,33.80,12.20
RB,MCM,Zack Moss,CIN,NE,Sun  1:00pm ET,12,41,30,15,98%,26%,15,1,17.10,17.10,6.50
QB,MCM,Derek Carr,NO,CAR,Sun  1:00pm ET,12,41.5,---,1,31%,6%,30,2,22.30,22.30,16.06
DST,MCM,Seahawks,SEA,DEN,Sun  4:05pm ET,10,42.5,5,15,42%,35%,1,2,10.00,10.00,9.90
